Month,Forecasted_Dwellings
2024-01-01,13568.057708382767
2024-02-01,12980.736981031992
2024-03-01,13634.186947498354
2024-04-01,13514.48488564395
2024-05-01,13665.305836119293
2024-06-01,13542.66878811921
2024-07-01,13830.799562639908
2024-08-01,13233.232104205143
2024-09-01,12628.395576372315
2024-10-01,13645.21063092345
2024-11-01,13276.29615919889
2024-12-01,13185.010764603712
